Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory
d9e458d6-b7ce-4bf1-8ba3-62958a948c59,2019-02-23T21:33:00.000-05:00,0,18051343,52,0,Trenton,Ontario
2e8106c0-d481-446b-bbbb-c32740eef411,2019-02-24T07:23:00.000-05:00,1,18051554,47,0.021276596,Longueuil,Quebec
df5eceb7-3194-4e9a-86e0-b5e9f1ac8413,2019-02-24T07:24:00.000-05:00,1,18051554,47,0.021276596,Longueuil,Quebec
6648c712-0630-4539-af6d-f59cd463ae54,2019-02-24T07:24:00.000-05:00,1,18051554,47,0.021276596,Longueuil,Quebec
6c36af52-dc30-4adf-8210-d9d36caa017d,2019-02-24T09:45:00.000-05:00,2,18051445,43,0.046511628,Montreal,Quebec
4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-22T10:00:00.000-05:00,3,18129115,49,0.06122449,Port Dover,Ontario
4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-23T14:30:00.000-05:00,1,18129115,49,0.020408163,Port Dover,Ontario
3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-03-29T13:06:00.000-04:00,13,18046221,53,0.24,Montreal,Quebec
7cda7462-6d8d-439c-b482-5bd6d768352a,2019-02-22T15:31:00.000-07:00,2,18129247,53,0.037735849,Calgary,Alberta
7cda7462-6d8d-439c-b482-5bd6d768352a,2019-02-23T17:00:00.000-07:00,5,18129247,53,0.094339623,Calgary,Alberta
3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-01T13:07:00.000-04:00,14,18046221,53,0.26,Montreal,Quebec
7cda7462-6d8d-439c-b482-5bd6d768352a,2019-02-24T19:00:00.000-07:00,6,18129247,53,0.113207547,Calgary,Alberta
5e6065eb-1c77-43d9-8a9b-330542ec6361,2019-02-20T13:30:00.000-03:30,7,18129260,54,0.12962963,Grand Falls-Windsor,Newfoundland and Labrador
5e6065eb-1c77-43d9-8a9b-330542ec6361,2019-02-22T08:30:00.000-03:30,5,18129260,54,0.092592593,Grand Falls-Windsor,Newfoundland and Labrador
5e6065eb-1c77-43d9-8a9b-330542ec6361,2019-02-23T13:30:00.000-03:30,1,18129260,54,0.018518519,Grand Falls-Windsor,Newfoundland and Labrador
5e6065eb-1c77-43d9-8a9b-330542ec6361,2019-02-24T18:30:00.000-03:30,2,18129260,54,0.037037037,Grand Falls-Windsor,Newfoundland and Labrador
2e8106c0-d481-446b-bbbb-c32740eef411,2019-02-25T07:31:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
df5eceb7-3194-4e9a-86e0-b5e9f1ac8413,2019-02-25T07:32:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
6648c712-0630-4539-af6d-f59cd463ae54,2019-02-25T07:32:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
